     phi     Cout
    0.65442500000000003446     0.32132199999999999651
    0.67500000000000004441     0.35175699999999998635
    0.69999999999999995559     0.38395299999999998875
    0.72499999999999997780     0.41653099999999998460
    0.75000000000000000000     0.44733000000000000540
    0.77500000000000002220     0.47806999999999999496
    0.80000000000000004441     0.50936800000000004296
    0.82499999999999995559     0.54153099999999998460
    0.84999999999999997780     0.57530599999999998406
    0.87500000000000000000     0.61110399999999998055
    0.90000000000000002220     0.65008799999999999919
    0.92500000000000004441     0.69388899999999997803
    0.94999999999999995559     0.74561200000000005250
    0.97499999999999997780     0.81432400000000004781
    0.98999999999999999112     0.87805699999999997640
    0.99899999999999999911     0.95915300000000003333
