     phi     Cout
    0.54446899999999998077     0.28921900000000000386
    0.57499999999999995559     0.31487500000000001599
    0.59999999999999997780     0.33793600000000001415
    0.62500000000000000000     0.36298399999999997334
    0.65000000000000002220     0.39013500000000000956
    0.67500000000000004441     0.41948600000000002552
    0.69999999999999995559     0.45112099999999999422
    0.72499999999999997780     0.48510700000000001042
    0.75000000000000000000     0.52150099999999999234
    0.77500000000000002220     0.56034300000000003550
    0.80000000000000004441     0.60165500000000005087
    0.82499999999999995559     0.64541800000000004722
    0.84999999999999997780     0.69156399999999995654
    0.87500000000000000000     0.73993799999999998462
    0.90000000000000002220     0.79027700000000000724
    0.92500000000000004441     0.84216800000000002768
    0.94999999999999995559     0.89501399999999997625
    0.97499999999999997780     0.94798800000000005284
    0.98999999999999999112     0.97939299999999995805
    0.99899999999999999911     0.99795400000000000773
