     phi     Cout
    0.54446899999999998077     0.26246300000000000185
    0.57499999999999995559     0.28745700000000001806
    0.59999999999999997780     0.31000400000000000178
    0.62500000000000000000     0.33458399999999999253
    0.65000000000000002220     0.36134300000000002528
    0.67500000000000004441     0.39042599999999999527
    0.69999999999999995559     0.42197099999999998499
    0.72499999999999997780     0.45610800000000001342
    0.75000000000000000000     0.49296099999999998253
    0.77500000000000002220     0.53263799999999994483
    0.80000000000000004441     0.57522300000000003983
    0.82499999999999995559     0.62075499999999994571
    0.84999999999999997780     0.66920500000000004981
    0.87500000000000000000     0.72044099999999999806
    0.90000000000000002220     0.77418100000000000804
    0.92500000000000004441     0.82993899999999998229
    0.94999999999999995559     0.88695800000000002417
    0.97499999999999997780     0.94414399999999998325
    0.98999999999999999112     0.97793200000000002348
    0.99899999999999999911     0.99781399999999997874
