     phi     Cout
    0.65442500000000003446     0.40352700000000002456
    0.67500000000000004441     0.42439599999999999547
    0.69999999999999995559     0.45008300000000001084
    0.72499999999999997780     0.47624899999999997791
    0.75000000000000000000     0.50302599999999997316
    0.77500000000000002220     0.53056700000000001083
    0.80000000000000004441     0.55906100000000003014
    0.82499999999999995559     0.58875599999999994605
    0.84999999999999997780     0.61999300000000001631
    0.87500000000000000000     0.65327500000000005009
    0.90000000000000002220     0.68939499999999998003
    0.92500000000000004441     0.72972999999999998977
    0.94999999999999995559     0.77706799999999998096
    0.97499999999999997780     0.83891099999999996228
    0.98999999999999999112     0.89519400000000004525
    0.99899999999999999911     0.96530199999999999338
