       R        K
    0.03183098861837909549     0.00000000000000000027
    0.03276732664114234000     0.00000092949820018033
    0.03370366466390557758     0.00000518577506590287
    0.03464000268666882210     0.00001407922455573428
    0.03557634070943205967     0.00002841991918301461
    0.03651267873219530419     0.00004920887440643494
    0.03744901675495854870     0.00007670048951808157
    0.03838535477772178628     0.00011133768527120708
    0.03932169280048503079     0.00015270093489131117
    0.04025803082324827531     0.00020319379958929658
    0.04119436884601151289     0.00026139686122367267
    0.04213070686877475740     0.00032878292688039016
    0.04306704489153799498     0.00041023635168260781
    0.04400338291430123949     0.00049720020757786001
    0.04493972093706448401     0.00059128042686683378
    0.04587605895982772158     0.00069899823379259308
    0.04681239698259096610     0.00081572049357726242
    0.04774873500535420368     0.00094193576656085968
    0.04868507302811744819     0.00107578873121158807
    0.04962141105088069271     0.00122099877682335439
    0.05055774907364393722     0.00137169355349190270
    0.05149408709640717480     0.00154152740829340993
    0.05243042511917041237     0.00171562132263017937
    0.05336676314193365689     0.00190571237430084048
    0.05430310116469690140     0.00210810468033166033
    0.05523943918746014592     0.00231986072147096151
    0.05617577721022338350     0.00254604112538060583
    0.05711211523298662107     0.00278606615739508982
    0.05804845325574986559     0.00303212640238911509
    0.05898479127851311010     0.00329468509390980473
    0.05992112930127635462     0.00356794193805520365
    0.06085746732403959219     0.00385988009650513894
    0.06179380534680282977     0.00416914659371761098
    0.06273014336956607429     0.00448470140926888420
    0.06366648139232931880     0.00479664641914033432
    0.06460281941509256332     0.00515151892382944947
    0.06553915743785579395     0.00549123791071184572
    0.06647549546061903847     0.00589000323488731142
    0.06741183348338228298     0.00627816482627438065
    0.06834817150614552750     0.00665119329888727746
    0.06928450952890877201     0.00707830287442988513
    0.07022084755167201653     0.00748611398218821875
    0.07115718557443526104     0.00790265197371612868
    0.07209352359719850556     0.00840335574625280038
    0.07302986161996173620     0.00882409904699815728
    0.07396619964272498071     0.00932194923680074172
    0.07490253766548821135     0.00985068958633635722
    0.07583887568825145586     0.01036311769600366077
    0.07677521371101470038     0.01089829062847541032
    0.07771155173377794489     0.01142819852345372360
    0.07864788975654118941     0.01195969223722360281
    0.07958422777930443393     0.01255997885505490477
    0.08052056580206767844     0.01312749161023068004
    0.08145690382483090908     0.01370547828121951306
    0.08239324184759415359     0.01437150542601492442
    0.08332957987035739811     0.01502184181972619076
    0.08426591789312062875     0.01562935845024184325
    0.08520225591588387326     0.01631294149858134035
    0.08613859393864711778     0.01702898001066073530
    0.08707493196141036229     0.01772087202821009261
    0.08801126998417360681     0.01842406689480939608
    0.08894760800693685132     0.01912974134773954421
    0.08988394602970009584     0.01987101332674862109
    0.09082028405246332647     0.02052645771612258280
    0.09175662207522657099     0.02145343545353710357
    0.09269296009798981550     0.02222170561518934176
    0.09362929812075304614     0.02304316061581276887
    0.09456563614351629066     0.02389590776491539587
    0.09550197416627953517     0.02476986951652801125
    0.09643831218904277969     0.02563879526483556215
    0.09737465021180602420     0.02648177390638946013
    0.09831098823456926872     0.02736837854812485329
    0.09924732625733251323     0.02833724169452770184
    0.10018366428009575775     0.02926287336315818235
    0.10112000230285900226     0.03020175924114680208
    0.10205634032562221902     0.03118613640223865530
    0.10299267834838549129     0.03218571235133498715
    0.10392901637114870805     0.03318893674558736490
    0.10486535439391195257     0.03422546352993777186
    0.10580169241667519708     0.03528942445954667134
    0.10673803043943844160     0.03637935411730984503
    0.10767436846220168611     0.03751619853635249080
    0.10861070648496493063     0.03861468251557321346
    0.10954704450772817514     0.03973924566265416708
    0.11048338253049141966     0.04091831270964205874
    0.11141972055325463642     0.04213593139964881551
    0.11235605857601790869     0.04333930185140726782
    0.11329239659878112545     0.04455732962379189283
    0.11422873462154436996     0.04581270686116214325
    0.11516507264430761448     0.04710228615013113684
    0.11610141066707085900     0.04842810981009824239
    0.11703774868983410351     0.04978782304932362346
    0.11797408671259734803     0.05117939619787822969
    0.11891042473536059254     0.05253443098106925363
    0.11984676275812383706     0.05391471827854760895
    0.12078310078088708157     0.05540561214724172567
    0.12171943880365029833     0.05685085133260221746
    0.12265577682641357060     0.05830109841172342877
    0.12359211484917678736     0.05980416638952890801
    0.12452845287194003188     0.06141510028386674286
    0.12546479089470327639     0.06305875936711612118
    0.12640112891746652091     0.06463676471461536621
    0.12733746694022976542     0.06633327209946189573
    0.12827380496299300994     0.06809269255959449207
    0.12921014298575625445     0.06978178332146153795
    0.13014648100851949897     0.07150232733297405552
    0.13108281903128271573     0.07327163696472541177
    0.13201915705404598800     0.07509696106086694023
    0.13295549507680920476     0.07697892428043141833
    0.13389183309957244927     0.07892196204125244419
    0.13482817112233569379     0.08089046412579325995
    0.13576450914509893830     0.08289693324706012834
    0.13670084716786218282     0.08499068034760226542
    0.13763718519062542733     0.08708631954193518654
    0.13857352321338867185     0.08913553068025853454
    0.13950986123615191636     0.09132589532879939465
    0.14044619925891513312     0.09362519697039439759
    0.14138253728167840539     0.09584003059234295907
    0.14231887530444162215     0.09810663929364744906
    0.14325521332720486667     0.10055734583306177865
    0.14419155134996811118     0.10301005713094191218
    0.14512788937273135570     0.10542578776393007889
    0.14606422739549460021     0.10793647366678341126
    0.14700056541825784473     0.11052907359234553919
    0.14793690344102108924     0.11312084373710713792
    0.14887324146378433376     0.11576081816902067390
    0.14980957948654755052     0.11852762353730530998
    0.15074591750931082279     0.12135173148309517932
    0.15168225553207403955     0.12419139992950439799
    0.15261859355483728407     0.12706831179597322112
    0.15355493157760052858     0.12997725871693330268
    0.15449126960036377310     0.13299963502604719712
    0.15542760762312701761     0.13616031040121107099
    0.15636394564589026213     0.13931280902480711048
    0.15730028366865350664     0.14245523158665202024
    0.15823662169141675116     0.14567403040622112220
    0.15917295971417999567     0.14897214220382992700
    0.16010929773694324019     0.15238777834730149463
    0.16104563575970645695     0.15590946373673561509
    0.16198197378246972922     0.15942359068744266226
    0.16291831180523297373     0.16295739378104717732
    0.16385464982799621825     0.16661163200772180493
    0.16479098785075943501     0.17037050780233756186
    0.16572732587352267952     0.17416704695341186926
    0.16666366389628592404     0.17801260341356242578
    0.16760000191904919631     0.18192212512672151226
