     phi        K
    0.23030979987050070878     0.00000549742667003050
    0.24783008782852633534     0.00000564236069890844
    0.26495156534297292783     0.00000576287907135937
    0.28168331044784800099     0.00000592291742761659
    0.29803419453587720600     0.00000604824395677912
    0.31401288706223351443     0.00000617686948201662
    0.32962786014119727085     0.00000634643846941947
    0.34488739303818349846     0.00000648247737985472
    0.35979957655951810835     0.00000663242469251301
    0.37437231734229037272     0.00000679103516082355
    0.38861334204655584301     0.00000695397177203862
    0.40253020145211548808     0.00000709842081769335
    0.41613027446203731952     0.00000726448661974334
    0.42942077201504935680     0.00000748626129520923
    0.44240874090887494230     0.00000763401848885089
    0.45510106753653756240     0.00000778634549886758
    0.46750448153761803294     0.00000798824793880103
    0.47962555936639827969     0.00000820659528229370
    0.49147072777878453298     0.00000840504206538300
    0.50304626723985845782     0.00000852102578656627
    0.51435831525386266350     0.00000883698757040300
    0.52541286961838684633     0.00000900993611305805
    0.53621579160447940815     0.00000923889942086386
    0.54677280906437086827     0.00000937263429786562
    0.55708951946845719494     0.00000958867335998840
    0.56717139287315243568     0.00000989117266187064
    0.57702377482118505370     0.00001011304996295865
    0.58665188917587562933     0.00001031678157621826
    0.59606084089089828026     0.00001059362549963723
    0.60525561871699440353     0.00001083474623485141
    0.61424109784707470183     0.00001112025167652248
    0.62302204250111081762     0.00001138202945035397
    0.63160310845218781139     0.00001160156466769180
    0.63998884549505685726     0.00001180469353527212
    0.64818369985849633164     0.00001219923402502354
    0.65619201656276160417     0.00001248883978499504
    0.66401804172337175469     0.00001267202733114405
    0.67166592480245657093     0.00001306200786414762
    0.67913972080885653959     0.00001337029514062470
    0.68644339244814145395     0.00001367722775681526
    0.69358081222368994645     0.00001401593855931315
    0.70055576448994205663     0.00001433525885191019
    0.70737194745891374126     0.00001466673090897479
    0.71403297516103791942     0.00001502442974317427
    0.72054237936137144338     0.00001537942892629761
    0.72690361143218340523     0.00001573580327165002
    0.73312004418291865093     0.00001601749915621373
    0.73919497364850594856     0.00001645284351343059
    0.74513162083695894111     0.00001685774240894297
    0.75093313343719791941     0.00001714152106313188
    0.75660258748799558148     0.00001761451633039959
    0.76214298900893373556     0.00001804393980753242
    0.76755727559423470030     0.00001849071100421486
    0.77284831797031250389     0.00001887806846331645
    0.77801892151787022112     0.00001934716980925489
    0.78307182775934980334     0.00001969234626991787
    0.78800971581252365894     0.00002021299755445243
    0.79283520381099803487     0.00002075562458344799
    0.79755085029238270700     0.00002115791090563879
    0.80215915555486128063     0.00002165238748083434
