 phi_min  K11_min
    0.00001000000000000000     0.80925673126977237803
    0.00001584893192461114     0.77400614553137303542
    0.00002511886431509582     0.73766415355277381583
    0.00003981071705534969     0.70175643579529833893
    0.00006309573444801929     0.66482343273920041504
    0.00010000000000000000     0.62680045198571443521
    0.00015848931924611142     0.59031086951668709784
    0.00025118864315095823     0.55377606316154404098
    0.00039810717055349735     0.51724733284676782663
    0.00063095734448019298     0.48075333864546498930
    0.00100000000000000002     0.44419553389854160574
    0.00158489319246111408     0.40769301939250679467
    0.00251188643150958204     0.37069582467071726661
    0.00398107170553497342     0.33390393291646441876
    0.00630957344480193635     0.29791999572600513790
    0.01000000000000000021     0.26324861334845711669
    0.01015468992433080087     0.26209807527252332315
    0.01031177274593055374     0.26090558450343176444
    0.01047128548050899575     0.25972085474921297044
    0.01063326571637161072     0.25865909306511303267
    0.01079775162327709960     0.25725494512595370455
    0.01096478196143185063     0.25598380568024381443
    0.01113439609062361405     0.25493381214654325939
    0.01130663397949638674     0.25349607624338982292
    0.01148153621496882971     0.25229204749462674773
    0.01165914401179831729     0.25111854658128673901
    0.01183949922229301718     0.24992597341151112644
    0.01202264434617413176     0.24869604138396206316
    0.01220862254059071166     0.24714676992532078059
    0.01239747763028944093     0.24632906408855764768
    0.01258925411794167490     0.24462668701030149121
    0.01278399719463023734     0.24381151196303971207
    0.01298175275049848892     0.24259580067260974601
    0.01318256738556407466     0.24140768858567707156
    0.01338648842069993343     0.24008845253069638348
    0.01359356390878525486     0.23879018543653135476
    0.01380384264602885214     0.23744329983592951661
    0.01401737418346770195     0.23624928449584450818
    0.01423420883864341506     0.23504827068900044362
    0.01445439770745927249     0.23370069369713239449
    0.01467799267622069831     0.23230477136890581580
    0.01490504643386196190     0.23118367374381004753
    0.01513561248436207964     0.23013882409046748645
    0.01536974515935271741     0.22904344301945020468
    0.01560749963092111434     0.22867267419395462258
    0.01584893192461113431     0.22652092267763629385
    0.01609409893262535307     0.22561999137799942927
    0.01634305842723137586     0.21960115708671720802
    0.01659586907437560557     0.21799015883809505501
