 phi_min  K11_min
    0.99471537729734393896     0.08180064383954890883
    0.98944646255795587475     0.08040673861895585028
    0.98417754781856792157     0.07899784649534150049
    0.97890863307917985736     0.07754728620473165523
    0.97363971833979179316     0.07584557246171580447
    0.96837080360040372895     0.07460362918149057720
    0.96310188886101566474     0.07319352847293882081
    0.95783297412162760054     0.07171658042131459632
    0.95256405938223953633     0.07039429642858500979
    0.94729514464285147213     0.06897387428196863346
    0.94202622990346340792     0.06765899349804903318
    0.93675731516407534372     0.06636228926216432289
    0.93148840042468727951     0.06503252456638912438
    0.92621948568529921531     0.06367396085391534288
    0.92095057094591115110     0.06239981461296096460
    0.91568165620652308689     0.06112203038753073053
    0.91041274146713502269     0.05991940103086033920
    0.90514382672774695848     0.05870870030697740438
    0.89987491198835889428     0.05753377863808253195
    0.89460599724897083007     0.05632858326914783054
    0.88933708250958276587     0.05508984982860709589
    0.88406816777019470166     0.05400789326199564866
    0.87879925303080663745     0.05279022778126463145
    0.87353033829141857325     0.05173128761284794680
    0.86826142355203050904     0.05060273420342616124
    0.86299250881264244484     0.04953775494518489891
    0.85772359407325438063     0.04844944827011706673
    0.85245467933386631643     0.04719405587484424430
    0.84718576459447825222     0.04616027259171862074
    0.84191684985509018802     0.04519612298976525416
    0.83664793511570212381     0.04422613599464410988
    0.83137902037631405960     0.04323949999099403058
    0.82611010563692599540     0.04228117606800622236
    0.82084119089753793119     0.04127061083440383693
    0.81557227615814986699     0.04033654897282436258
    0.81030336141876180278     0.03938838452061715900
    0.80503444667937373858     0.03836026291411378381
    0.79976553193998567437     0.03749951116262681405
    0.79449661720059761016     0.03658259532383061757
    0.78922770246120954596     0.03585573798879729268
    0.78395878772182148175     0.03491722497018497073
    0.77868987298243341755     0.03399628058325233210
    0.77342095824304535334     0.03322833980440356022
    0.76815204350365728914     0.03240067928011531456
    0.76288312876426922493     0.03160340357320218230
    0.75761421402488116073     0.03087324432016743184
    0.75234529928549309652     0.03004246052575345119
    0.74707638454610503231     0.02924707023650776824
    0.74180746980671696811     0.02851655588353514334
    0.73653855506732890390     0.02781649517959246254
    0.73126964032794083970     0.02704748559867248617
    0.72600072558855277549     0.02633885949874078050
    0.72073181084916471129     0.02563037304013683626
    0.71546289610977664708     0.02494503155566697716
    0.71019398137038858287     0.02427498755210110229
    0.70492506663100051867     0.02364278444794413667
    0.69965615189161245446     0.02296409060221225179
    0.69438723715222439026     0.02233800093418671084
    0.68911832241283632605     0.02169240072678007072
    0.68384940767344826185     0.02108806336023635875
    0.67858049293406019764     0.02052999818141992838
    0.67331157819467213344     0.01990500933544353188
    0.66804266345528406923     0.01935322460377077169
    0.66277374871589600502     0.01874801510736338883
    0.65750483397650794082     0.01818854077897626501
    0.65223591923711987661     0.01764078325793900365
    0.64696700449773181241     0.01711222588001522563
    0.64169808975834374820     0.01659902883434611828
    0.63642917501895568400     0.01609486002853585326
    0.63116026027956761979     0.01558334699513422815
    0.62589134554017955558     0.01509569377702253343
    0.62062243080079149138     0.01461160024207179553
    0.61535351606140342717     0.01414124467628425502
    0.61008460132201536297     0.01367983010743402048
    0.60481568658262729876     0.01324142738620198538
    0.59954677184323923456     0.01279657234688805212
    0.59427785710385117035     0.01236563796929504751
    0.58900894236446310614     0.01194356309697050880
    0.58374002762507504194     0.01153554521454777659
    0.57847111288568697773     0.01113634874166367916
    0.57320219814629891353     0.01074462901543243518
    0.56793328340691084932     0.01035806262881483128
    0.56266436866752278512     0.00998637606455135378
    0.55739545392813472091     0.00962703036926128471
    0.55212653918874665671     0.00926689594808295485
    0.54685762444935859250     0.00891660253632752496
    0.54158870970997052829     0.00857730023831766719
    0.53631979497058246409     0.00825430802935795196
    0.53105088023119439988     0.00793058544358711884
    0.52578196549180633568     0.00761790707337142627
    0.52051305075241827147     0.00730525941255884877
    0.51524413601303031829     0.00700991916084833713
    0.50997522127364225408     0.00671783709348529150
    0.50470630653425418988     0.00643619061588280184
    0.49943739179486612567     0.00615901021779822685
    0.49416847705547806147     0.00586787827745315592
    0.48889956231608999726     0.00562005098566195019
    0.48363064757670193305     0.00536118113014004416
    0.47836173283731386885     0.00510822495059522295
    0.47309281809792580464     0.00487303019098905398
    0.46782390335853774044     0.00463769291917142008
    0.46255498861914967623     0.00440793803084113187
    0.45728607387976161203     0.00418735331334277663
    0.45201715914037354782     0.00397541800847038725
    0.44674824440098548362     0.00377129307361436742
    0.44147932966159741941     0.00357132005033701213
    0.43621041492220924418     0.00337144384617448943
    0.43094150018282117998     0.00319236551535748148
    0.42567258544343322679     0.00300295897465869101
    0.42040367070404516259     0.00283097050687253519
    0.41513475596465709838     0.00266547389373815360
    0.40986584122526903418     0.00250514794554831466
    0.40459692648588096997     0.00234296017284514038
    0.39932801174649290576     0.00219413986303883084
    0.39405909700710484156     0.00205213564146047422
    0.38879018226771677735     0.00191141762993760566
    0.38352126752832871315     0.00177666086277931414
    0.37825235278894064894     0.00165003730626895706
    0.37298343804955258474     0.00152762238143289760
    0.36771452331016452053     0.00141511054232405136
    0.36244560857077645633     0.00130296723460479168
    0.35717669383138839212     0.00118396250579516312
    0.35190777909200032791     0.00108252275882159848
    0.34663886435261226371     0.00098901274678897988
    0.34136994961322419950     0.00089769001869511754
    0.33610103487383613530     0.00081236842715339582
    0.33083212013444807109     0.00072858623948949012
    0.32556320539506000689     0.00065289749882975934
    0.32029429065567194268     0.00058060234691468041
    0.31502537591628387847     0.00051440402472707888
    0.30975646117689581427     0.00045164412139592458
    0.30448754643750775006     0.00039431371972467003
