     phi        K
    0.99968584073464106243     0.26324861334845711669
    0.99967604610495897077     0.26209807527252332315
    0.99966594610541781307     0.26090558450343176444
    0.99965553121541750325     0.25972085474921297044
    0.99964479161753183600     0.25865909306511303267
    0.99963371718825388967     0.25725494512595370455
    0.99962229748845332633     0.25598380568024381443
    0.99961052175353637406     0.25493381214654325939
    0.99959837888329838851     0.25349607624338982292
    0.99958585743146055602     0.25229204749462674773
    0.99957294559488052421     0.25111854658128673901
    0.99955963120242596887     0.24992597341151112644
    0.99954590170350177125     0.24869604138396206316
    0.99953174415621959259     0.24714676992532078059
    0.99951714521519829937     0.24632906408855764768
    0.99950209111898391523     0.24462668701030149121
    0.99948656767707821924     0.24381151196303971207
    0.99947056025656155764     0.24259580067260974601
    0.99945405376829987709     0.24140768858567707156
    0.99943703265272110237     0.24008845253069638348
    0.99941948086514809102     0.23879018543653135476
    0.99940138186067428716     0.23744329983592951661
    0.99938271857856808555     0.23624928449584450818
    0.99936347342619091805     0.23504827068900044362
    0.99934362826241351918     0.23370069369713239449
    0.99932316438051571605     0.23230477136890581580
    0.99930206249055264500     0.23118367374381004753
    0.99928030270117185196     0.23013882409046748645
    0.99925786450086240276     0.22904344301945020468
    0.99923472673862046012     0.22867267419395462258
    0.99921086760401178761     0.22652092267763629385
    0.99918626460661175148     0.22561999137799942927
    0.99916089455480605608     0.21960115708671720802
    0.99913473353392867615     0.21799015883809505501
    0.99910775688371977754     0.21544393266116232399
    0.99907993917507975645     0.21579018620346795965
    0.99905125418609896926     0.21576641809932370353
    0.99902167487733994911     0.21350397585303768078
    0.99899117336634946085     0.21256409130536324525
    0.99895972090137530319     0.21124541770332183610
    0.99892728783426409933     0.20969384007499813904
    0.99889384359251365275     0.20847564436032905988
    0.99885935665045455512     0.20901545387368367090
    0.99882379449953306860     0.20755105381100141804
    0.99878712361766708305     0.20574712374820217087
    0.99874930943764772540     0.20413662852783190371
    0.99871031631455431388     0.20217877845686063609
    0.99867010749215501253     0.20260607542071870646
    0.99862864506825865796     0.20084721301628633006
    0.99858588995898722729     0.19989059512623172377
    0.99854180186193375324     0.19718472144665502577
    0.99849633921817215754     0.19768448752028808246
    0.99844945917308236538     0.19503261480135061778
    0.99840111753595384148     0.19406258463787698365
    0.99835126873833024419     0.19323643126641096290
    0.99829986579105500777     0.19331917077437971164
    0.99824686023997766249     0.19091919310581526026
    0.99819220212027937045     0.18992367953222499821
    0.99813583990937460033     0.19039949965573058077
    0.99807772047834375506     0.18716575927941550561
    0.99801778904185245445     0.18574127539374804541
    0.99795598910650895608     0.18512615997725653805
    0.99789226241761141978     0.18308498157384792138
    0.99782654890423516658     0.18093627227684544456
    0.99775878662260797380     0.18125349048777156247
    0.99768891169771933836     0.18039534967107687113
    0.99761685826311030656     0.17827775281089433546
    0.99754255839878513967     0.17838916674156099496
    0.99746594206718774966     0.17582818933474370082
    0.99738693704718173194     0.17558329092465771448
    0.99730546886597271072     0.17413387140308009271
    0.99722146072890760493     0.17392155938268680226
    0.99713483344708520040     0.17242751626469396409
    0.99704550536271019379     0.17084451651268084404
    0.99695339227211965394     0.16943709504745710359
    0.99685840734641018024     0.16817192049699380973
    0.99676046104958970773     0.16670579482265682203
    0.99665946105417790868     0.16647653385256838687
    0.99655531215417514357     0.16535503786213964772
    0.99644791617531858208     0.16381289347016156355
    0.99633717188253889674     0.16301233338057610767
    0.99622297488453359637     0.16168608591564820331
    0.99610521753536385159     0.16090305775877991601
    0.99598378883298366304     0.15942686153160187668
    0.99585857431460600431     0.15830177114661744819
    0.99572945594880568621     0.15733241687538646048
    0.99559631202425991070     0.15644853225455801482
    0.99545901703501804558     0.15494934886339631341
    0.99531744156219648101     0.15376284370040832483
    0.99517145215198299368     0.15265767734982643722
    0.99502091118983970741     0.15086736544359433121
    0.99486567677078208138     0.15025972938621345865
    0.99470560256561524337     0.14849222998820024721
    0.99454053768299865990     0.14736225054674648161
    0.99437032652721113468     0.14656978967920628043
    0.99419480865148079918     0.14568463459627964407
    0.99401381860674276059     0.14412615249588017763
    0.99382718578568129963     0.14291110221250152845
    0.99363473426190962456     0.14149192889286757446
    0.99343628262413541385     0.14100644787664823321
    0.99323164380515682748     0.13938354855389695208
    0.99302062490552656104     0.13764172510823399764
    0.99280302701171829760     0.13698948423985676803
    0.99257864500862380552     0.13576536280393433631
    0.99234726738620515629     0.13450496309889617419
    0.99210867604011765408     0.13297264331414693217
    0.99186264606611762584     0.13174079753333875487
    0.99160894554806011669     0.13092627578420765189
    0.99134733533928665050     0.12962676793936447894
    0.99107756883719799745     0.12842452253677694163
    0.99079939175079767555     0.12725032646872813658
    0.99051254186098913745     0.12603605867296940879
    0.99021674877339915799     0.12471950516975346956
    0.98991173366349449747     0.12368108873234638645
    0.98959720901375347601     0.12280225668237294834
    0.98927287834264110433     0.12129356378870594091
    0.98893843592513641649     0.12011922233984892450
    0.98859356650454577320     0.11902223792302354943
    0.98823794499533057500     0.11779646476418076384
    0.98787123617667138564     0.11632697172891316717
    0.98749309437647714294     0.11544665888782765228
    0.98710316314554313877     0.11401411759713590832
    0.98670107492154990325     0.11294331220360659396
    0.98628645068258657957     0.11187133662589714145
    0.98585889958987216186     0.11064301540035613447
    0.98541801861933764339     0.10934955351005840041
    0.98496339218172190844     0.10823033561483513809
    0.98449459173082343177     0.10710679578924217625
    0.98401117535953785964     0.10598498524291669054
    0.98351268738330199781     0.10466759352000992722
    0.98299865791054963360     0.10346591752382904017
    0.98246860239977640283     0.10242954286298340538
    0.98192202120279414856     0.10119441093316869362
    0.98135839909374622536     0.10007889871457871511
    0.98077720478343777266     0.09897474709781327318
    0.98017789041852498855     0.09779195487128203301
    0.97955989106508967179     0.09663690728976169486
    0.97892262417611408676     0.09548794739363486439
    0.97826548904235177684     0.09436291826626769241
    0.97758786622607940497     0.09318321909130404535
    0.97688911697719360561     0.09200166300761965232
    0.97616858263110362071     0.09080444736877807399
    0.97542558398785172979     0.08964279570849101320
    0.97465942067187705256     0.08853577148972566202
    0.97386937047181709737     0.08739665306050969917
    0.97305468865972755133     0.08628982443301472238
    0.97221460728907649340     0.08516203559685157909
    0.97134833447085211500     0.08405439538312259318
    0.97045505362710149377     0.08284279886120263225
    0.96953392272119653938     0.08174777740056587971
    0.96858407346410202443     0.08061650851896984271
    0.96760461049589707727     0.07947100592257611007
    0.96659461054177875372     0.07836028264459177217
    0.96555312154175176875     0.07721509517018110280
    0.96447916175318537668     0.07613614742618658726
    0.96337171882538896739     0.07497820849118179420
    0.96222974884533651885     0.07388179070593647868
    0.96105217535363884895     0.07271384241036106533
    0.95983788832983707451     0.07158475322079686787
    0.95858574314605948796     0.07051757048369802772
    0.95729455948805686205     0.06940809819559400073
    0.95596312024259866291     0.06827884740947415265
    0.95459017035018078889     0.06718752473468279918
    0.95317441562196447702     0.06605176776787309578
    0.95171452151983015888     0.06497916429862131416
    0.95020911189839685207     0.06388850116324529260
    0.94865676770782114691     0.06277445129206392360
    0.94705602565615287780     0.06171288817832515372
    0.94540537682998704305     0.06061607435154632573
    0.94370326527211123580     0.05950048252826584116
    0.94194808651480743666     0.05843946144703382473
    0.94013818606742727280     0.05733699007184595020
    0.93827185785681310737     0.05627104581574212533
    0.93634734261909580155     0.05523790949224046537
    0.93436282624135369446     0.05415632866205742635
    0.93231643805156827476     0.05309580050911659466
    0.93020624905526605453     0.05204670248714450553
    0.92803027011718264294     0.05099657416844594060
    0.92578645008623805523     0.04994073922005709543
    0.92347267386205134088     0.04889411257858789633
    0.92108676040117609674     0.04788380526830182671
    0.91862646066117603638     0.04684788115744636244
    0.91608945548060083386     0.04583462786366485076
    0.91347335339286672706     0.04480938892547913638
    0.91077568837197986351     0.04374620455477346709
    0.90799391750797675549     0.04272183327595778513
    0.90512541860989170761     0.04171082818446247148
    0.90216748773399102479     0.04072231626018466000
    0.89911733663494530777     0.03970098547003327732
    0.89597209013753420503     0.03871149065436742254
    0.89272878342641048821     0.03772333046787496730
    0.88938435925136460902     0.03674085457983594649
    0.88593566504545773199     0.03577051040854957453
    0.88237944995330563902     0.03481287946789576870
    0.87871236176671363438     0.03384687229954661675
    0.87493094376477142937     0.03289980446088295457
    0.87103163145543138768     0.03193955977289728715
    0.86701074921549903252     0.03096805698657692160
    0.86286450682586601779     0.03006575436228405354
    0.85858899589872195168     0.02914005063918784569
    0.85418018619337665598     0.02822709170440141843
    0.84963392181721952845     0.02731442466854473380
    0.84494591730823409570     0.02639964671972925767
    0.84011175359537848539     0.02549943650476789447
    0.83512687383301964505     0.02462181647407926666
    0.82998657910549633598     0.02374083959505584804
    0.82468602399776358425     0.02286068562937076942
    0.81922021202794159667     0.02200854502537459567
    0.81358399093746247566     0.02116819752225816698
    0.80777204783437839275     0.02032774444746228426
    0.80177890418524988547     0.01953438592799983109
    0.79559891065089716200     0.01873433633251197009
    0.78922624176114064554     0.01789384826689041988
    0.78265489042351732429     0.01716820048911033361
    0.77587866226079382770     0.01646070613709847349
    0.76889116977193572300     0.01571674043742780913
    0.76168582631103542990     0.01497110115051203047
    0.75425583987851763101     0.01418858633261229837
    0.74659420671877052555     0.01343990005046112775
    0.73869370471817041857     0.01254760363894521016
    0.73054688659727495814     0.01194421360151234207
    0.72214607289076460095     0.01136574682765649838
    0.71348334470852103895     0.01069975871891537186
    0.70455053627101493774     0.01005679691688348906
    0.69533922721196561589     0.00944820040165005905
    0.68584073464102068840     0.00868824698513187554
    0.67604610495897099476     0.00806406508328583703
    0.66594610541778709312     0.00747478052378496016
    0.65553121541751813162     0.00696311914547764928
    0.64479161753185376682     0.00640816518933724679
    0.63371718825388945184     0.00587175855087373848
    0.62229748845336485541     0.00536014786950084979
    0.61052175353638848954     0.00486744921787621125
    0.59837888329837096713     0.00440868566778591410
    0.58585743146059487962     0.00398046182703678305
    0.57294559488056839847     0.00357697123146268623
    0.55963120242598618503     0.00319072265105652033
    0.54590170350180777792     0.00283151622023574594
